지점,지점명,일시,평균기온(°C),최저기온(°C),평균최저기온(°C),평균최고기온(°C),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2)
143,대구,1926,11.9,-14.9,7.1,17.5,1159,142.2,19260718,64.7,2559,,
143,대구,1927,12.4,-12.7,7.6,18.1,742.5,105.9,19270809,65.5,2601.4,,
143,대구,1928,12.5,-12.8,7.7,18.2,687.1,37.8,19280904,64.8,2529.7,,
143,대구,1929,12.7,-12.7,7.7,18.7,918,126.6,19290629,64.9,2690,,
143,대구,1930,12.8,-11.5,8.3,18.3,1241.4,58.4,19300615,68.4,2390.8,,
143,대구,1931,12.3,-15.7,7.7,17.8,1094.5,87.1,19310812,66.9,2404.5,,
143,대구,1932,12.5,-10,7.5,18.7,612.3,47.7,19320831,64.8,2646.7,,
143,대구,1933,12.5,-15.2,7.9,18.1,1564.6,95.5,19330630,66.3,2579.9,,
143,대구,1934,12.1,-14.6,7.4,18,1384.5,123.5,19340719,64.8,2567.9,,
143,대구,1935,13,-10.7,8.1,18.9,788.1,44.8,19350603,64.6,2757.1,,
143,대구,1936,11.5,-16.4,6.8,17.2,1440.6,106.8,19360827,65.9,2524.2,,
143,대구,1937,12.7,-11.3,8,18.3,805.5,54.7,19370414,67.3,2553,,
143,대구,1938,12.4,-13.7,7.5,18.2,744.7,55.7,19381029,65.4,2652.4,,
143,대구,1939,12.9,-14.2,7.6,19.2,581,93.7,19390813,63.5,2831.5,,
143,대구,1940,12.4,-13.2,7.2,18.4,916.8,84.1,19400625,66.1,2701.2,,
143,대구,1941,12.3,-13.2,7.3,18.2,1085.7,154.8,19410706,68.1,2600.3,,
143,대구,1942,12.6,-13.5,7.4,18.8,917.8,98.6,19420911,64.9,2875,,
143,대구,1943,12.7,-14.9,7.5,18.8,735.8,103.2,19430715,63.8,2808.2,,
143,대구,1944,12.6,-10.4,7.5,18.7,623.3,59.3,19440906,63.3,2845.9,,
143,대구,1945,12,-14.4,7,18,1250.7,160.8,19451002,67.3,2609.2,,
143,대구,1946,12.7,-11.5,8,18.5,990.5,135.8,19460626,66.4,2530.4,,
143,대구,1947,11.4,-13.1,6.6,17.3,857.4,97.3,19470908,66.7,2628.9,,
143,대구,1948,12.9,-11.7,8.2,18.7,1458.2,203.2,19480730,69.3,2583.1,,
143,대구,1949,12.5,-10,7.9,18.4,806.1,81.8,19490621,67.5,2525.6,,
143,대구,1950,12.9,-14,8.1,18.7,878.1,67.5,19500623,67.8,2504,,
143,대구,1951,13,-12.7,7.9,19.2,782,63.5,19510822,65.8,2675.9,,
143,대구,1952,12.5,-12.1,7.7,18.3,848.6,82.2,19520911,66.4,2391.6,,
143,대구,1953,12.6,-17.6,7.9,18.4,922.6,61.8,19530703,66.8,2366.8,,
143,대구,1954,12.8,-8.6,8.4,18.2,956.9,67.6,19540913,69.8,2061.2,,
143,대구,1955,13,-12.6,8.1,18.8,795.1,96.4,19550713,68,2283,,
143,대구,1956,11.6,-11,6.9,17.3,1211.4,62.9,19560714,66.7,2310.9,,
143,대구,1957,12.1,-13.1,7,17.9,973.7,81.2,19570731,65.4,2351,,
143,대구,1958,13,-13.4,8.1,18.6,1275.2,83.1,19580704,66.4,2451.8,,
143,대구,1959,13.6,-13.5,9.1,19.1,1192.3,107.5,19590831,66.2,2403.5,,
143,대구,1960,13.4,-13.4,8.7,19.2,886,81.5,19600918,65.6,2648.2,,
143,대구,1961,13.7,-13.3,9.1,19,1457.9,95.6,19610803,67.8,2334,52.65,
143,대구,1962,13.1,-10.2,8.1,19,874.1,113.6,19620824,64.6,2446.5,55.18,
143,대구,1963,12.3,-13.7,7.5,17.8,1031.8,88.4,19630619,67.5,2160.3,48.73,
143,대구,1964,13.6,-10.6,8.9,19.2,904.1,106.7,19640718,68.7,2520.6,56.71,
143,대구,1965,12.8,-12.8,7.6,18.6,1014.4,95,19650722,64.5,2730.3,66.62,
143,대구,1966,12.9,-13.8,8.3,18.5,933.8,52.1,19660820,69.3,2392.2,59.29,
143,대구,1967,13,-15.4,8.4,18.6,911.3,71,19670908,69.3,2498.9,56.38,
143,대구,1968,13,-11.4,8.2,18.7,802.5,170,19680816,70.7,2438.2,54.86,
143,대구,1969,12.5,-12.8,7.7,17.7,1231.2,88.1,19690804,69.7,2303,52.11,
143,대구,1970,12.7,-15.1,8.1,17.8,1319.4,112.4,19700716,67.8,2374.2,53.55,
143,대구,1971,13,-11.6,8.2,18.4,722.5,45.8,19710712,68.1,2481,55.96,
143,대구,1972,13.1,-9.2,8.4,18.3,1206.6,102.4,19720703,69.1,2209.8,49.72,
143,대구,1973,13.7,-14,8.8,19.3,864.4,92.9,19730803,62.7,2449.9,55.25,
143,대구,1974,12.6,-14.1,7.6,18.3,1214.6,118.6,19740823,65.2,2028.7,45.76,
143,대구,1975,13.5,-9.9,9.2,18.8,1043.6,64.3,19750711,66.5,2129.8,48.04,
143,대구,1976,12.6,-13.3,7.9,18.3,733.5,59.3,19760803,63.4,2192.4,49.33,
143,대구,1977,13.5,-13.8,8.6,19.3,769.7,51.3,19770424,59.8,2257,50.91,
143,대구,1978,14.2,-11.3,9.2,20,1012.7,136.8,19780618,62.8,2376,53.6,
143,대구,1979,13.7,-9.8,8.9,19.3,1017.6,60.9,19790825,67.3,2311.4,52.14,
143,대구,1980,12.5,-12.6,8,17.9,1196.1,81.2,19800911,66.3,2283.4,51.37,
143,대구,1981,12.9,-13.2,8,18.5,995,174.1,19810830,61.7,2452,55.31,4393.93
143,대구,1982,13.7,-12.6,8.8,19.5,834.7,210.1,19820814,62,2442.9,55.1,4849.9
143,대구,1983,13.5,-12,8.7,19,1003.1,77.6,19830620,66.1,2448.9,55.05,4515.04
143,대구,1984,13.2,-12.4,8.4,18.6,1188.5,100.2,19840903,68.1,2470.8,55.42,4681.34
143,대구,1985,13.5,-12.8,9,18.6,1396.6,182.6,19850817,71.2,2266,50.94,4735.14
143,대구,1986,12.9,-12,8.2,18.7,993.8,78.6,19860625,67.3,2296.4,51.63,5045.04
143,대구,1987,13.7,-10.7,8.9,19.6,1094.1,103,19870715,64.5,2270.8,51.05,4632.97
143,대구,1988,13.4,-9.9,8.6,19.5,617,46.1,19880714,62.9,2219.5,49.77,4658.33
143,대구,1989,14.3,-9.4,9.7,19.9,1247.4,85.4,19890822,67,2115.5,47.56,4511.59
143,대구,1990,14.6,-11.8,10.1,20.1,1239.7,67.2,19900718,66.4,2213.3,49.76,4333.26
143,대구,1991,13.7,-12.4,9,19.1,1296.2,96.6,19910823,63.5,2256.6,50.73,4597.98
143,대구,1992,14.1,-8.2,9.4,19.7,811.7,82.2,19920717,66.2,2234.9,50.13,4573.1
143,대구,1993,13.4,-9.6,8.8,18.9,1181.7,81.4,19930628,67.3,2130.5,47.89,4485.15
