瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),嚼档(%),瘤搁柯档(∑C)
143,措备,2023-01-01 00:00,-1.8,,83,-3.8
143,措备,2023-01-01 01:00,-2.4,,85,-4.2
143,措备,2023-01-01 02:00,-2.8,,86,-4.3
143,措备,2023-01-01 03:00,-2.9,,88,-4.7
143,措备,2023-01-01 04:00,-3.4,,92,-4.9
143,措备,2023-01-01 05:00,-3.3,,90,-5.3
143,措备,2023-01-01 06:00,-3.4,,90,-5.6
143,措备,2023-01-01 07:00,-3.7,,92,-5.3
143,措备,2023-01-01 08:00,-3.6,,92,-5
143,措备,2023-01-01 09:00,-1.9,,85,-2
143,措备,2023-01-01 10:00,1.7,,76,2.1
143,措备,2023-01-01 11:00,4.6,,63,6.9
143,措备,2023-01-01 12:00,6,,59,9.6
143,措备,2023-01-01 13:00,6.1,,57,10.1
143,措备,2023-01-01 14:00,6.7,,51,10.7
143,措备,2023-01-01 15:00,6.7,,42,9.9
143,措备,2023-01-01 16:00,6.5,,40,7.8
143,措备,2023-01-01 17:00,5.7,,40,3.4
143,措备,2023-01-01 18:00,4.6,,40,1.6
143,措备,2023-01-01 19:00,4.2,,43,-.1
143,措备,2023-01-01 20:00,3.5,,42,.5
143,措备,2023-01-01 21:00,2.4,,44,-.3
143,措备,2023-01-01 22:00,2.1,,45,-.7
143,措备,2023-01-01 23:00,2.5,,43,.4
143,措备,2023-01-02 00:00,1.9,,43,-.1
143,措备,2023-01-02 01:00,1.2,,44,-.6
143,措备,2023-01-02 02:00,.3,,43,-1.3
143,措备,2023-01-02 03:00,-.1,,45,-1.2
143,措备,2023-01-02 04:00,-.7,,49,-1.3
143,措备,2023-01-02 05:00,-.9,,49,-1.6
143,措备,2023-01-02 06:00,-1.2,,46,-1.5
143,措备,2023-01-02 07:00,-1.5,,43,-2
143,措备,2023-01-02 08:00,-1.9,,43,-1.5
143,措备,2023-01-02 09:00,-1.7,,41,.1
143,措备,2023-01-02 10:00,-1.4,,41,.4
143,措备,2023-01-02 11:00,.3,,33,5.1
143,措备,2023-01-02 12:00,1.7,,30,8.2
143,措备,2023-01-02 13:00,2.9,,30,10.5
143,措备,2023-01-02 14:00,3.2,,31,10.6
143,措备,2023-01-02 15:00,3.6,,31,9.9
143,措备,2023-01-02 16:00,3.9,,31,7.2
143,措备,2023-01-02 17:00,3.1,,33,2.1
143,措备,2023-01-02 18:00,2.4,,35,0
143,措备,2023-01-02 19:00,1.5,,38,-.4
143,措备,2023-01-02 20:00,.5,,41,-1.2
143,措备,2023-01-02 21:00,.1,,42,-2.3
143,措备,2023-01-02 22:00,-.5,,46,-3
143,措备,2023-01-02 23:00,-1,,49,-3.6
143,措备,2023-01-03 00:00,-1.7,,51,-3.4
143,措备,2023-01-03 01:00,-2.1,,55,-3.8
143,措备,2023-01-03 02:00,-2.7,,56,-4.2
143,措备,2023-01-03 03:00,-2.8,,56,-4.2
143,措备,2023-01-03 04:00,-2.9,,60,-4.2
143,措备,2023-01-03 05:00,-3.2,,62,-4.9
143,措备,2023-01-03 06:00,-3.1,,63,-4.9
143,措备,2023-01-03 07:00,-3.5,,63,-5.3
143,措备,2023-01-03 08:00,-2.9,,61,-5.2
143,措备,2023-01-03 09:00,-2.3,,54,-2.9
143,措备,2023-01-03 10:00,-.9,,50,0
143,措备,2023-01-03 11:00,.6,,43,5.2
143,措备,2023-01-03 12:00,1.6,,39,8.1
143,措备,2023-01-03 13:00,3.4,,37,10.9
143,措备,2023-01-03 14:00,4.1,,36,11.3
143,措备,2023-01-03 15:00,3.6,,37,9.6
143,措备,2023-01-03 16:00,3.8,,37,7
143,措备,2023-01-03 17:00,3,,39,1.7
143,措备,2023-01-03 18:00,1.8,,42,-.1
143,措备,2023-01-03 19:00,1.2,,42,-.7
143,措备,2023-01-03 20:00,.5,,45,-1.6
143,措备,2023-01-03 21:00,.2,,49,-1.9
143,措备,2023-01-03 22:00,0,,54,-1.8
143,措备,2023-01-03 23:00,-.8,,56,-2.1
143,措备,2023-01-04 00:00,-1.3,,55,-2.8
143,措备,2023-01-04 01:00,-1.7,,55,-2.8
143,措备,2023-01-04 02:00,-2,,50,-3.1
143,措备,2023-01-04 03:00,-2.4,,49,-3.4
143,措备,2023-01-04 04:00,-2.6,,49,-4
