날짜,불면증_환자수
2020-05-01,10241
2020-06-01,10156
2020-07-01,10285
2020-08-01,9997
2020-09-01,10530
2020-10-01,10222
2020-11-01,10289
2020-12-01,10752
2021-01-01,10745
2021-02-01,10602
2021-03-01,11519
2021-04-01,11121
2021-05-01,10812
2021-06-01,10968
2021-07-01,10652
2021-08-01,10918
2021-09-01,11168
2021-10-01,11405
2021-11-01,11183
2021-12-01,11719
2022-01-01,11577
2022-02-01,11133
2022-03-01,11714
2022-04-01,11421
2022-05-01,11712
2022-06-01,11173
2022-07-01,11160
2022-08-01,11848
2022-09-01,12110
2022-10-01,12108
2022-11-01,12314
2022-12-01,12347
2023-01-01,12582
2023-02-01,12269
2023-03-01,12892
2023-04-01,12043
2023-05-01,12740
2023-06-01,12431
2023-07-01,12122
2023-08-01,12280
2023-09-01,12378
2023-10-01,12958
2023-11-01,12361
2023-12-01,12484
2024-01-01,13435
2024-02-01,12600
2024-03-01,12918
2024-04-01,13245
2024-05-01,13165
2024-06-01,12362
2024-07-01,12908
2024-08-01,12675
2024-09-01,12601
2024-10-01,13366
2024-11-01,12893
2024-12-01,13249
2025-01-01,13056
2025-02-01,13250
2025-03-01,13162
2025-04-01,13434
2025-05-01,13159
2025-06-01,12897
2025-07-01,13100
2025-08-01,12777
