일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2020-05-01,대구(143),X,30.8,31.3,22.7,14.3,72.3,X, ,X,매우높음
2020-05-02,대구(143),X,29.0,29.7,22.7,17.6,67.6,X, ,X,보통
2020-05-03,대구(143),X,23.1,20.3,17.9,16.4,98.0,X, ,X,보통
2020-05-04,대구(143),X,29.7,29.7,21.5,14.7,76.4,X, ,X,보통
2020-05-05,대구(143),X,22.4,21.2,16.8,14.4,83.1,X, ,X,보통
2020-05-06,대구(143),X,25.3,26.1,17.5,13.3,67.5,X, ,X,매우높음
2020-05-07,대구(143),X,20.3,21.9,15.8,9.8,55.9,X, ,X,매우높음
2020-05-08,대구(143),X,24.6,25.6,17.6,9.1,64.4,X, ,X,매우높음
2020-05-09,대구(143),X,22.2,19.0,17.0,14.6,95.3,X, ,X,보통
2020-05-10,대구(143),X,24.3,23.9,18.9,16.3,69.5,X, ,X,낮음
2020-05-11,대구(143),X,26.0,28.6,21.1,12.9,49.1,X, ,X,매우높음
2020-05-12,대구(143),X,24.4,26.5,20.2,14.8,42.1,X, ,X,매우높음
2020-05-13,대구(143),X,23.1,25.5,18.6,10.8,40.6,X, ,X,매우높음
2020-05-14,대구(143),X,25.7,28.3,19.9,11.0,41.3,X, ,X,높음
2020-05-15,대구(143),X,20.7,19.8,16.5,14.8,82.6,X, ,X,보통
2020-05-16,대구(143),X,27.2,26.6,19.3,14.8,80.5,X, ,X,보통
2020-05-17,대구(143),X,28.8,29.0,22.0,16.2,73.1,X, ,X,매우높음
2020-05-18,대구(143),X,24.6,23.5,19.8,17.2,80.0,X, ,X,보통
2020-05-19,대구(143),X,21.1,19.4,15.5,12.8,71.6,X, ,X,보통
2020-05-20,대구(143),X,21.7,22.4,15.6,10.5,57.4,X, ,X,높음
2020-05-21,대구(143),X,23.4,24.0,16.2,11.6,66.6,X, ,X,높음
2020-05-22,대구(143),X,23.4,23.2,17.1,12.6,66.4,X, ,X,매우높음
